"","Admitted","Disposition_binary","Place","F_Aid","Species_e","Sex_e","Age_e","Brought_in_after","season","r","Green_Orange","ID"
"1","1/2/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",1,"Winter","found on the ground","Non-selasphorus spp.","1_ANHU"
"2","1/2/1991","Released","Lindsey","Yes","ANHU","Female-like","adult-like",0,"Winter","unknown","Non-selasphorus spp.","2_ANHU"
"3","1/4/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","suspect torpor-like state","Non-selasphorus spp.","3_ANHU"
"4","1/5/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",4,"Winter","unknown","Non-selasphorus spp.","4_ANHU"
"5","1/5/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","caught by domestic animal","Non-selasphorus spp.","5_ANHU"
"6","1/5/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","6_ANHU"
"7","1/6/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","window hit","Non-selasphorus spp.","7_ANHU"
"8","1/7/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","window hit","Non-selasphorus spp.","8_ANHU"
"9","1/8/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","9_ANHU"
"10","1/11/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","unknown","Non-selasphorus spp.","10_ANHU"
"11","1/13/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","11_ANHU"
"12","1/14/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","12_ANHU"
"13","1/21/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","window hit","Non-selasphorus spp.","13_ANHU"
"14","1/24/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","14_ANHU"
"15","1/26/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","window hit","Non-selasphorus spp.","15_ANHU"
"16","1/27/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","window hit","Non-selasphorus spp.","16_ANHU"
"17","2/2/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",1,"Winter","found inside","Non-selasphorus spp.","17_ANHU"
"18","2/5/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","caught by domestic animal","Non-selasphorus spp.","18_ANHU"
"19","2/13/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","window hit","Non-selasphorus spp.","19_ANHU"
"20","2/16/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Winter","caught by domestic animal","Non-selasphorus spp.","20_ANHU"
"21","3/1/1991","Died","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","21_ANHU"
"22","3/3/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","nest-related","Non-selasphorus spp.","22_ANHU"
"23","3/3/1991","Died","Lindsey","No","ANHU","Female-like","adult-like",0,"Spring","nest-related","Non-selasphorus spp.","23_ANHU"
